text,label
Government announces new policy to improve rural healthcare services,REAL
Scientists discover water on Mars confirmed by multiple space agencies,REAL
Local man lifts car with one hand after drinking special energy drink,FAKE
"Celebrity adopts 15 pandas in single day, vows to teach them karate",FAKE
New study shows vaccines reduce hospitalization risk significantly,REAL
Alien spaceship seen hovering over the Eiffel Tower last night,FAKE
Central bank cuts interest rates to stimulate economic growth,REAL
Chocolate cures all diseases according to undisclosed research,FAKE
University launches scholarship program for AI and data science,REAL
Time traveler warns of pizza shortage in the year 2040,FAKE
